Paramètre;Valeur;Unité;Catégorie;Effet sur la simulation;Note
HOOK_T;25.0;mm;Bloquant SimScale;Section du crochet;crochet oxycoupé ép. 25 (pièce forgée à étudier)
HOOK_THROAT_Z;300.0;mm;Bloquant SimScale;Hauteur d'application de la traction;Z du fond de gorge (hauteur d'attelage à confirmer)
HOOK_TIP_W;32.0;mm;Bloquant SimScale;Section du bec (effort de traction);épaisseur du bec selon Y
LUG_BASE;(80.0, 12.0);mm;Bloquant SimScale;Assise sur le cadre haut;platine d'oreille carré × ép.
LUG_HOLE_D;32.0;mm;Bloquant SimScale;Oreille / manille;perçage manille
LUG_HOLE_Z;30.0;mm;Bloquant SimScale;Bras de levier sur la platine;axe du perçage au-dessus de la platine
LUG_T;15.0;mm;Bloquant SimScale;Oreille de levage;oreille de levage épaisseur
LUG_W;80.0;mm;Bloquant SimScale;Oreille de levage;oreille largeur
PANEL_T;2.0;mm;Bloquant SimScale;Rigidité des parois, contreventement de la caisse;tôle parois latérales et arrière
RACK_DEPTH;450.0;mm;Bloquant SimScale;Géométrie et masse des racks, position des charges de tablettes;profondeur de rack selon X
RACK_SHELF_T;2.0;mm;Bloquant SimScale;Tablettes porteuses;tôle de tablette
RACK_SHELF_Z;(700.0, 1100.0, 1500.0);mm;Bloquant SimScale;Hauteur des charges de tablettes (CdG chargé);Z du dessus des 3 tablettes
RACK_Y_RANGE;(70.0, 1030.0);mm;Bloquant SimScale;Portée des tablettes;emprise Y du rack
REAR_MID_POST_X;1100.0;mm;Bloquant SimScale;Raidissage de la paroi arrière;axe X du montant arrière intermédiaire 40×40
REAR_RAIL_Z;1000.0;mm;Bloquant SimScale;Raidissage de la paroi arrière;axe Z de la lisse arrière 40×40
ROOF_BOW_X;(733.0, 1467.0);mm;Bloquant SimScale;Raidissage du toit;axes X des traverses de toit 40×40
ROOF_T;2.0;mm;Bloquant SimScale;Rigidité du toit, diaphragme horizontal;tôle de toit
SIDE_RAIL_Z;1000.0;mm;Bloquant SimScale;Position de la reprise des barres de manutention;axe Z de la lisse latérale 40×40 (reprise des barres)
WHEEL_SPACER_T;15.0;mm;Bloquant SimScale;Dépend de CASTER_H;cale soudée : Z dessous châssis − platine porte-roue − CASTER_H
WHEEL_SUPPORT_PLATE_T;10.0;mm;Bloquant SimScale;Rigidité de la platine porte-roue;platine porte-roue soudée sous châssis
CASTER_BOLT_D;16.0;mm;Non bloquant;Assemblage démontable;vis de fixation roulette M16 cl. 8.8 (était M12)
CASTER_D;200.0;mm;Non bloquant;Appui ponctuel en simulation;roue Ø200, bandage caoutchouc plein sur jante acier
CASTER_MASS;13.5;kg;Non bloquant;Masse ajoutée;masse catalogue d'une roulette Ø200 série renforcée
CASTER_OFFSET;55.0;mm;Non bloquant;Cinématique de pivot;déport de chape pivotante
CASTER_W;50.0;mm;Non bloquant;Appui ponctuel en simulation;largeur de bandage
DOOR_GAP_BOTTOM;6.0;mm;Non bloquant;Jeux de fonctionnement;jeu vantail / plancher
DOOR_GAP_CENTER;6.0;mm;Non bloquant;Jeux de fonctionnement;jeu entre vantaux
DOOR_GAP_SIDE;5.0;mm;Non bloquant;Jeux de fonctionnement;jeu vantail / montant
DOOR_GAP_TOP;5.0;mm;Non bloquant;Jeux de fonctionnement;jeu vantail / traverse haute
DOOR_SKIN_T;2.0;mm;Non bloquant;"Masse des vantaux ; hors chemin de charge principal";tôle de parement des vantaux
DOOR_STOP_Z;0.75;;Non bloquant;Position de butée;position relative de la butée 90° sur la hauteur du vantail
HINGE_AXIS_X;30.0;mm;Non bloquant;Cinématique de porte;position X de l'axe de charnière depuis le bord d'enveloppe
HINGE_AXIS_Y;-20.0;mm;Non bloquant;Cinématique de porte;position Y de l'axe (devant la face avant)
HINGE_KNUCKLE_LEN;55.0;mm;Non bloquant;Détail de charnière;longueur d'un nœud
HINGE_KNUCKLE_OD;30.0;mm;Non bloquant;Détail de charnière;nœud de charnière Ø30, alésage Ø17
HINGE_Z_MARGIN;150.0;mm;Non bloquant;Détail de charnière;charnières haute/basse à 150 des bords du vantail
HOOK_THROAT_W;60.0;mm;Non bloquant;Forme de gorge;largeur de gorge
HOOK_TIP_H;55.0;mm;Non bloquant;Retenue géométrique de l'anneau;hauteur du bec au-dessus du fond de gorge
RING_PIN_D;20.0;mm;Non bloquant;Interface engin, hors modèle de calcul;axe d'articulation de l'anneau côté engin
RING_R;47.0;mm;Non bloquant;Interface engin, hors modèle de calcul;anneau : rayon moyen (Ø int. 70)
RING_r;12.0;mm;Non bloquant;Interface engin, hors modèle de calcul;anneau : rayon de section (Ø24)
ROOF_NOTCH;86.0;mm;Non bloquant;Découpe de toit aux angles;dégagement de toit aux angles
