Paramètre;Valeur;Unité;Statut;Note
CASTER_AXIS_INSET;165.0;mm;PROVISOIRE — À VALIDER;axe de pivot à 165 des bords (balayage dans l'enveloppe)
CASTER_CMU;500.0;kg;PROVISOIRE — À VALIDER;charge admissible par roue
CASTER_MASS;9.5;kg;PROVISOIRE — À VALIDER;masse catalogue d'une roulette
WHEEL_SUPPORT_PLATE_T;10.0;mm;PROVISOIRE — À VALIDER;platine porte-roue soudée sous châssis
WHEEL_SPACER_T;15.0;mm;PROVISOIRE — À VALIDER;cale soudée (rattrapage hauteur roulette)
FORK_POCKET_COUNT;2;u;FIGÉ;
FORK_POCKET_PITCH;900.0;mm;PROVISOIRE — À VALIDER;entraxe — à confirmer selon engins ciblés (pas une norme)
FORK_POCKET_W;230.0;mm;PROVISOIRE — À VALIDER;largeur extérieure (intérieur 220)
FORK_POCKET_H;80.0;mm;PROVISOIRE — À VALIDER;hauteur extérieure (intérieur 70)
FORK_POCKET_T;5.0;mm;PROVISOIRE — À VALIDER;épaisseur (tube 230×80×5 ou tôle pliée)
LIFTING_POINT_COUNT;4;u;FIGÉ;
LUG_T;15.0;mm;PROVISOIRE — À VALIDER;oreille de levage épaisseur
LUG_W;80.0;mm;PROVISOIRE — À VALIDER;oreille largeur
LUG_HOLE_D;32.0;mm;PROVISOIRE — À VALIDER;perçage manille
LUG_HOLE_Z;30.0;mm;PROVISOIRE — À VALIDER;axe du perçage au-dessus de la platine
LUG_BASE;(80.0, 12.0);mm;PROVISOIRE — À VALIDER;platine d'oreille carré × ép.
ROOF_NOTCH;86.0;mm;PROVISOIRE — À VALIDER;dégagement de toit aux angles
HITCH_SIDES;('G', 'D');;PROVISOIRE — À VALIDER;"attelage sur les faces latérales 1100 (décision utilisateur) — un crochet de chaque côté ; ('D',) pour un seul"
HOOK_T;25.0;mm;PROVISOIRE — À VALIDER;crochet oxycoupé ép. 25 (pièce forgée à étudier)
HOOK_THROAT_Z;300.0;mm;PROVISOIRE — À VALIDER;Z du fond de gorge (hauteur d'attelage à confirmer)
HOOK_THROAT_W;60.0;mm;PROVISOIRE — À VALIDER;largeur de gorge
HOOK_TIP_H;55.0;mm;PROVISOIRE — À VALIDER;hauteur du bec au-dessus du fond de gorge
HOOK_TIP_W;32.0;mm;PROVISOIRE — À VALIDER;épaisseur du bec selon Y
RING_R;47.0;mm;PROVISOIRE — À VALIDER;anneau : rayon moyen (Ø int. 70)
RING_r;12.0;mm;PROVISOIRE — À VALIDER;anneau : rayon de section (Ø24)
RING_PIN_D;20.0;mm;PROVISOIRE — À VALIDER;axe d'articulation de l'anneau côté engin
PAYLOAD_NOMINAL;500.0;kg;FIGÉ;
PAYLOAD_DESIGN;750.0;kg;FIGÉ;
DYNAMIC_FACTOR;1.5;;FIGÉ;
SAFETY_FACTOR_MIN;1.5;;FIGÉ;cible préliminaire — pas une certification
STEEL_DENSITY;7.85e-06;kg/mm³;FIGÉ;S235JR
